id,target,file_path,fold,pred
00001f4945,0,../input/train/0/0/0/00001f4945.npy,0,0.17785645
0002402e11,0,../input/train/0/0/0/0002402e11.npy,0,0.25024414
000288e4a5,1,../input/train/0/0/0/000288e4a5.npy,0,1.0
0002b64784,1,../input/train/0/0/0/0002b64784.npy,0,0.15063477
0004a85055,1,../input/train/0/0/0/0004a85055.npy,0,0.14147949
0006684722,1,../input/train/0/0/0/0006684722.npy,0,1.0
0008c2f476,0,../input/train/0/0/0/0008c2f476.npy,0,0.06915283
0008cf208f,0,../input/train/0/0/0/0008cf208f.npy,0,0.23937988
0009e8c71e,1,../input/train/0/0/0/0009e8c71e.npy,0,0.32714844
000a218fdd,1,../input/train/0/0/0/000a218fdd.npy,0,1.0
000ab7f146,1,../input/train/0/0/0/000ab7f146.npy,0,0.97802734
000c3f2d3e,1,../input/train/0/0/0/000c3f2d3e.npy,0,1.0
000c67c73a,1,../input/train/0/0/0/000c67c73a.npy,0,1.0
000eb55203,0,../input/train/0/0/0/000eb55203.npy,0,0.1328125
000eee8e26,0,../input/train/0/0/0/000eee8e26.npy,0,0.22814941
000efe500e,0,../input/train/0/0/0/000efe500e.npy,0,0.18725586
000f89d73e,0,../input/train/0/0/0/000f89d73e.npy,0,0.14672852
001004180a,0,../input/train/0/0/1/001004180a.npy,0,0.1116333
0012370d42,0,../input/train/0/0/1/0012370d42.npy,0,0.16955566
0012b54664,1,../input/train/0/0/1/0012b54664.npy,0,1.0
0014724021,1,../input/train/0/0/1/0014724021.npy,0,0.15014648
0015c81349,1,../input/train/0/0/1/0015c81349.npy,0,0.7836914
0016d5221a,1,../input/train/0/0/1/0016d5221a.npy,0,0.7524414
00180e4450,1,../input/train/0/0/1/00180e4450.npy,0,0.8359375
0018f964f9,1,../input/train/0/0/1/0018f964f9.npy,0,0.93066406
001d593c4a,1,../input/train/0/0/1/001d593c4a.npy,0,1.0
0020b7510d,1,../input/train/0/0/2/0020b7510d.npy,0,1.0
0021095cf1,1,../input/train/0/0/2/0021095cf1.npy,0,0.9946289
00224cee90,0,../input/train/0/0/2/00224cee90.npy,0,0.17871094
002262bc50,1,../input/train/0/0/2/002262bc50.npy,0,0.13867188
00238b2e73,0,../input/train/0/0/2/00238b2e73.npy,0,0.1003418
00247b6408,0,../input/train/0/0/2/00247b6408.npy,0,0.2692871
0025710dd2,0,../input/train/0/0/2/0025710dd2.npy,0,0.1661377
0025aaf0ca,0,../input/train/0/0/2/0025aaf0ca.npy,0,0.140625
00271559e6,1,../input/train/0/0/2/00271559e6.npy,0,0.27197266
002756d256,1,../input/train/0/0/2/002756d256.npy,0,1.0
0029277914,1,../input/train/0/0/2/0029277914.npy,0,1.0
002b5e1f58,1,../input/train/0/0/2/002b5e1f58.npy,0,1.0
002b766b27,0,../input/train/0/0/2/002b766b27.npy,0,0.28100586
002c474e05,1,../input/train/0/0/2/002c474e05.npy,0,1.0
002f73c8ba,1,../input/train/0/0/2/002f73c8ba.npy,0,1.0
0032d5fe4c,0,../input/train/0/0/3/0032d5fe4c.npy,0,0.23718262
00334cedd6,1,../input/train/0/0/3/00334cedd6.npy,0,0.12658691
0034c04a6b,0,../input/train/0/0/3/0034c04a6b.npy,0,0.20935059
003593de60,0,../input/train/0/0/3/003593de60.npy,0,0.112976074
0036747940,0,../input/train/0/0/3/0036747940.npy,0,0.14892578
0036905958,1,../input/train/0/0/3/0036905958.npy,0,1.0
0037ef2c23,0,../input/train/0/0/3/0037ef2c23.npy,0,0.07104492
003940c4f7,1,../input/train/0/0/3/003940c4f7.npy,0,1.0
003c08891b,0,../input/train/0/0/3/003c08891b.npy,0,0.19104004
