id,target,file_path,fold,pred
000295765e,0,../input/train/0/0/0/000295765e.npy,0,0.21838379
0003496c10,0,../input/train/0/0/0/0003496c10.npy,0,0.17407227
00034d8429,0,../input/train/0/0/0/00034d8429.npy,0,0.13256836
00046aeb49,1,../input/train/0/0/0/00046aeb49.npy,0,1.0
00053e25a0,0,../input/train/0/0/0/00053e25a0.npy,0,0.29345703
000c41d34a,1,../input/train/0/0/0/000c41d34a.npy,0,1.0
000efdb49c,0,../input/train/0/0/0/000efdb49c.npy,0,0.17883301
000fd2a682,1,../input/train/0/0/0/000fd2a682.npy,0,0.46191406
000fe0c0ef,0,../input/train/0/0/0/000fe0c0ef.npy,0,0.20947266
0010838bae,1,../input/train/0/0/1/0010838bae.npy,0,1.0
00158f0c4d,0,../input/train/0/0/1/00158f0c4d.npy,0,0.14953613
001639e102,0,../input/train/0/0/1/001639e102.npy,0,0.17297363
0017824b16,0,../input/train/0/0/1/0017824b16.npy,0,0.21765137
0017ee018a,1,../input/train/0/0/1/0017ee018a.npy,0,0.9848633
0018663758,0,../input/train/0/0/1/0018663758.npy,0,0.4958496
001a3b3f2c,1,../input/train/0/0/1/001a3b3f2c.npy,0,0.99902344
001c064957,0,../input/train/0/0/1/001c064957.npy,0,0.1616211
001ccbe8ba,0,../input/train/0/0/1/001ccbe8ba.npy,0,0.18347168
00208ccf51,0,../input/train/0/0/2/00208ccf51.npy,0,0.13183594
0022d18ca3,1,../input/train/0/0/2/0022d18ca3.npy,0,0.38012695
00244be79c,0,../input/train/0/0/2/00244be79c.npy,0,0.18823242
00245046cd,0,../input/train/0/0/2/00245046cd.npy,0,0.29541016
002ccebe2b,1,../input/train/0/0/2/002ccebe2b.npy,0,0.20166016
002fa29b19,0,../input/train/0/0/2/002fa29b19.npy,0,0.74902344
002fa9b1e8,0,../input/train/0/0/2/002fa9b1e8.npy,0,0.73876953
0030770a30,1,../input/train/0/0/3/0030770a30.npy,0,0.5698242
00311cb0e4,0,../input/train/0/0/3/00311cb0e4.npy,0,0.28588867
0031fe0223,1,../input/train/0/0/3/0031fe0223.npy,0,1.0
00326150ff,1,../input/train/0/0/3/00326150ff.npy,0,0.20214844
003383e837,0,../input/train/0/0/3/003383e837.npy,0,0.23779297
00376a1eed,0,../input/train/0/0/3/00376a1eed.npy,0,0.14367676
00387dea40,1,../input/train/0/0/3/00387dea40.npy,0,1.0
003b3c903c,0,../input/train/0/0/3/003b3c903c.npy,0,0.2697754
003c1e0a1b,0,../input/train/0/0/3/003c1e0a1b.npy,0,0.18444824
003e42175c,1,../input/train/0/0/3/003e42175c.npy,0,0.1116333
0040b1524c,1,../input/train/0/0/4/0040b1524c.npy,0,0.26489258
0040f20442,0,../input/train/0/0/4/0040f20442.npy,0,0.10876465
00416e6902,1,../input/train/0/0/4/00416e6902.npy,0,1.0
00433658db,1,../input/train/0/0/4/00433658db.npy,0,0.32128906
0045f7155b,0,../input/train/0/0/4/0045f7155b.npy,0,0.3017578
00468b1942,1,../input/train/0/0/4/00468b1942.npy,0,1.0
0047203a45,0,../input/train/0/0/4/0047203a45.npy,0,0.14196777
00485207db,0,../input/train/0/0/4/00485207db.npy,0,0.2680664
004a2cb679,0,../input/train/0/0/4/004a2cb679.npy,0,0.72509766
004bb8a73a,1,../input/train/0/0/4/004bb8a73a.npy,0,0.2319336
004cb95748,0,../input/train/0/0/4/004cb95748.npy,0,0.4560547
004d3c2b6d,1,../input/train/0/0/4/004d3c2b6d.npy,0,0.33862305
004ecffa44,1,../input/train/0/0/4/004ecffa44.npy,0,1.0
0050f43f57,1,../input/train/0/0/5/0050f43f57.npy,0,0.5830078
0055105f87,1,../input/train/0/0/5/0055105f87.npy,0,0.5463867
005750b782,0,../input/train/0/0/5/005750b782.npy,0,0.14343262
0058742e03,0,../input/train/0/0/5/0058742e03.npy,0,0.671875
005aceb185,0,../input/train/0/0/5/005aceb185.npy,0,0.59277344
005ce03edb,0,../input/train/0/0/5/005ce03edb.npy,0,0.2310791
005d526828,1,../input/train/0/0/5/005d526828.npy,0,0.99902344
005ddce023,0,../input/train/0/0/5/005ddce023.npy,0,0.087402344
005ec2ab2e,1,../input/train/0/0/5/005ec2ab2e.npy,0,1.0
005f7f67bd,1,../input/train/0/0/5/005f7f67bd.npy,0,0.31347656
0061c9a516,1,../input/train/0/0/6/0061c9a516.npy,0,0.375
00660c9fcc,0,../input/train/0/0/6/00660c9fcc.npy,0,0.1373291
0066ac3457,0,../input/train/0/0/6/0066ac3457.npy,0,0.44995117
006e17f341,0,../input/train/0/0/6/006e17f341.npy,0,0.17553711
006eeaa90c,1,../input/train/0/0/6/006eeaa90c.npy,0,0.24243164
006f619ec7,0,../input/train/0/0/6/006f619ec7.npy,0,0.33496094
0070f42b88,0,../input/train/0/0/7/0070f42b88.npy,0,0.1694336
0073a6aecd,0,../input/train/0/0/7/0073a6aecd.npy,0,0.18029785
0078660a43,1,../input/train/0/0/7/0078660a43.npy,0,1.0
007affd198,1,../input/train/0/0/7/007affd198.npy,0,0.42260742
007ba361f3,0,../input/train/0/0/7/007ba361f3.npy,0,0.19812012
007c080261,1,../input/train/0/0/7/007c080261.npy,0,1.0
007c58595f,1,../input/train/0/0/7/007c58595f.npy,0,0.9770508
007c6071bb,0,../input/train/0/0/7/007c6071bb.npy,0,0.42382812
007d8f05f5,0,../input/train/0/0/7/007d8f05f5.npy,0,0.15405273
007daf2848,0,../input/train/0/0/7/007daf2848.npy,0,0.63378906
007fd170f2,1,../input/train/0/0/7/007fd170f2.npy,0,0.6303711
0081989551,1,../input/train/0/0/8/0081989551.npy,0,0.67041016
00820595e3,1,../input/train/0/0/8/00820595e3.npy,0,1.0
0082c6390b,0,../input/train/0/0/8/0082c6390b.npy,0,0.59277344
0084045536,1,../input/train/0/0/8/0084045536.npy,0,0.9995117
008934bef6,0,../input/train/0/0/8/008934bef6.npy,0,0.53222656
008a701f6b,1,../input/train/0/0/8/008a701f6b.npy,0,1.0
008b28501b,1,../input/train/0/0/8/008b28501b.npy,0,1.0
008d4b6590,1,../input/train/0/0/8/008d4b6590.npy,0,0.5161133
008efb83c0,0,../input/train/0/0/8/008efb83c0.npy,0,0.15270996
009456ecf0,0,../input/train/0/0/9/009456ecf0.npy,0,0.35473633
009493dbf5,1,../input/train/0/0/9/009493dbf5.npy,0,0.9995117
